x_ref_m;y_ref_m;psi_racetraj_rad;s_racetraj_m;kappa_racetraj_radpm;vx_racetraj_mps
0.0443;-0.3933;-0.1017;0.0000;-0.0054;2.9517
0.3074;-0.4202;-0.1045;0.2645;-0.0054;2.9407
0.5676;-0.4482;-0.1124;0.5262;-0.0097;2.9143
0.8247;-0.4786;-0.1248;0.7851;-0.0143;2.8776
1.0785;-0.5123;-0.1419;1.0411;-0.0191;2.8369
1.3288;-0.5506;-0.1638;1.2943;-0.0242;2.7938
1.5753;-0.5945;-0.1907;1.5447;-0.0295;2.7488
1.8179;-0.6450;-0.2227;1.7925;-0.0351;2.7023
2.0563;-0.7034;-0.2599;2.0380;-0.0407;2.6558
2.2904;-0.7707;-0.3023;2.2815;-0.0463;2.6147
2.5198;-0.8480;-0.3494;2.5236;-0.0509;2.5943
2.7445;-0.9362;-0.3972;2.7650;-0.0480;2.6102
2.9650;-1.0347;-0.4402;3.0065;-0.0409;2.6566
3.1820;-1.1422;-0.4763;3.2486;-0.0336;2.7158
3.3964;-1.2573;-0.5053;3.4919;-0.0262;2.7772
3.6089;-1.3785;-0.5275;3.7367;-0.0190;2.8378
3.8206;-1.5044;-0.5427;3.9829;-0.0120;2.8953
4.0320;-1.6337;-0.5513;4.2308;-0.0052;2.9411
4.2442;-1.7649;-0.5532;4.4802;0.0013;2.9556
4.4578;-1.8966;-0.5487;4.7312;0.0077;2.9298
4.6738;-2.0275;-0.5378;4.9837;0.0139;2.8828
4.8929;-2.1561;-0.5206;5.2377;0.0199;2.8326
5.1159;-2.2810;-0.4973;5.4934;0.0256;2.7840
5.3438;-2.4008;-0.4681;5.7508;0.0311;2.7378
5.5772;-2.5142;-0.4331;6.0103;0.0362;2.6949
5.8171;-2.6196;-0.3926;6.2724;0.0409;2.6559
6.0642;-2.7158;-0.3471;6.5375;0.0449;2.6195
6.3194;-2.8013;-0.2968;6.8067;0.0486;2.5790
6.5821;-2.8742;-0.2409;7.0793;0.0546;2.5215
6.8483;-2.9313;-0.1767;7.3516;0.0643;2.4337
7.1136;-2.9692;-0.1007;7.6196;0.0789;2.3032
7.3734;-2.9844;-0.0086;7.8798;0.1000;2.1173
7.6232;-2.9735;0.1051;8.1299;0.1296;1.8699
7.8584;-2.9332;0.2464;8.3685;0.1687;1.5924
8.0746;-2.8600;0.4171;8.5968;0.2055;1.3850
8.2682;-2.7517;0.6006;8.8186;0.2052;1.3496
8.4391;-2.6103;0.7739;9.0403;0.1837;1.4765
8.5880;-2.4391;0.9279;9.2672;0.1553;1.6843
8.7157;-2.2411;1.0606;9.5029;0.1273;1.9052
8.8229;-2.0193;1.1737;9.7492;0.1034;2.1030
8.9103;-1.7769;1.2699;10.0068;0.0845;2.2647
8.9787;-1.5171;1.3525;10.2756;0.0701;2.3899
