s_idx,lat_idx,head_idx,x,y,wall_distance,curvature,lateral_offset,curvature_heuristic
0,0,0,-0.035549,-1.175736,0.335410,-0.005400,-0.786500,-0.002124
0,0,1,-0.035549,-1.175736,0.335410,-0.005400,-0.786500,-0.002124
0,0,2,-0.035549,-1.175736,0.335410,-0.005400,-0.786500,-0.002124
0,0,3,-0.035549,-1.175736,0.335410,-0.005400,-0.786500,-0.002124
0,0,4,-0.035549,-1.175736,0.335410,-0.005400,-0.786500,-0.002124
0,1,0,-0.008476,-0.910447,0.494975,-0.005400,-0.519833,-0.001404
0,1,1,-0.008476,-0.910447,0.494975,-0.005400,-0.519833,-0.001404
0,1,2,-0.008476,-0.910447,0.494975,-0.005400,-0.519833,-0.001404
0,1,3,-0.008476,-0.910447,0.494975,-0.005400,-0.519833,-0.001404
0,1,4,-0.008476,-0.910447,0.494975,-0.005400,-0.519833,-0.001404
0,2,0,0.018597,-0.645159,0.670820,-0.005400,-0.253167,-0.000684
0,2,1,0.018597,-0.645159,0.670820,-0.005400,-0.253167,-0.000684
0,2,2,0.018597,-0.645159,0.670820,-0.005400,-0.253167,-0.000684
0,2,3,0.018597,-0.645159,0.670820,-0.005400,-0.253167,-0.000684
0,2,4,0.018597,-0.645159,0.670820,-0.005400,-0.253167,-0.000684
0,3,0,0.045671,-0.379870,0.948683,-0.005400,0.013500,0.000219
0,3,1,0.045671,-0.379870,0.948683,-0.005400,0.013500,0.000219
0,3,2,0.045671,-0.379870,0.948683,-0.005400,0.013500,0.000219
0,3,3,0.045671,-0.379870,0.948683,-0.005400,0.013500,0.000219
0,3,4,0.045671,-0.379870,0.948683,-0.005400,0.013500,0.000219
0,4,0,0.072744,-0.114581,1.176860,-0.005400,0.280167,0.004539
0,4,1,0.072744,-0.114581,1.176860,-0.005400,0.280167,0.004539
0,4,2,0.072744,-0.114581,1.176860,-0.005400,0.280167,0.004539
0,4,3,0.072744,-0.114581,1.176860,-0.005400,0.280167,0.004539
0,4,4,0.072744,-0.114581,1.176860,-0.005400,0.280167,0.004539
0,5,0,0.099817,0.150708,1.250000,-0.005400,0.546833,0.008859
0,5,1,0.099817,0.150708,1.250000,-0.005400,0.546833,0.008859
0,5,2,0.099817,0.150708,1.250000,-0.005400,0.546833,0.008859
0,5,3,0.099817,0.150708,1.250000,-0.005400,0.546833,0.008859
0,5,4,0.099817,0.150708,1.250000,-0.005400,0.546833,0.008859
0,6,0,0.125520,0.402566,1.000000,-0.005400,0.800000,0.012960
0,6,1,0.125520,0.402566,1.000000,-0.005400,0.800000,0.012960
0,6,2,0.125520,0.402566,1.000000,-0.005400,0.800000,0.012960
0,6,3,0.125520,0.402566,1.000000,-0.005400,0.800000,0.012960
0,6,4,0.125520,0.402566,1.000000,-0.005400,0.800000,0.012960
1,0,0,0.743674,-1.238080,0.141421,-0.014579,-0.763552,-0.005566
1,0,1,0.743674,-1.238080,0.141421,-0.014579,-0.763552,-0.005566
1,0,2,0.743674,-1.238080,0.141421,-0.014579,-0.763552,-0.005566
1,0,3,0.743674,-1.238080,0.141421,-0.014579,-0.763552,-0.005566
1,0,4,0.743674,-1.238080,0.141421,-0.014579,-0.763552,-0.005566
1,1,0,0.777131,-0.973520,0.360555,-0.014579,-0.496885,-0.003622
1,1,1,0.777131,-0.973520,0.360555,-0.014579,-0.496885,-0.003622
1,1,2,0.777131,-0.973520,0.360555,-0.014579,-0.496885,-0.003622
1,1,3,0.777131,-0.973520,0.360555,-0.014579,-0.496885,-0.003622
1,1,4,0.777131,-0.973520,0.360555,-0.014579,-0.496885,-0.003622
1,2,0,0.810588,-0.708961,0.604152,-0.014579,-0.230218,-0.001678
1,2,1,0.810588,-0.708961,0.604152,-0.014579,-0.230218,-0.001678
1,2,2,0.810588,-0.708961,0.604152,-0.014579,-0.230218,-0.001678
1,2,3,0.810588,-0.708961,0.604152,-0.014579,-0.230218,-0.001678
1,2,4,0.810588,-0.708961,0.604152,-0.014579,-0.230218,-0.001678
1,3,0,0.844045,-0.444401,0.838153,-0.014579,0.036448,0.001594
1,3,1,0.844045,-0.444401,0.838153,-0.014579,0.036448,0.001594
1,3,2,0.844045,-0.444401,0.838153,-0.014579,0.036448,0.001594
1,3,3,0.844045,-0.444401,0.838153,-0.014579,0.036448,0.001594
1,3,4,0.844045,-0.444401,0.838153,-0.014579,0.036448,0.001594
1,4,0,0.877502,-0.179841,1.140175,-0.014579,0.303115,0.013258
1,4,1,0.877502,-0.179841,1.140175,-0.014579,0.303115,0.013258
1,4,2,0.877502,-0.179841,1.140175,-0.014579,0.303115,0.013258
1,4,3,0.877502,-0.179841,1.140175,-0.014579,0.303115,0.013258
1,4,4,0.877502,-0.179841,1.140175,-0.014579,0.303115,0.013258
1,5,0,0.910959,0.084718,1.300000,-0.014579,0.569782,0.024921
1,5,1,0.910959,0.084718,1.300000,-0.014579,0.569782,0.024921
1,5,2,0.910959,0.084718,1.300000,-0.014579,0.569782,0.024921
1,5,3,0.910959,0.084718,1.300000,-0.014579,0.569782,0.024921
1,5,4,0.910959,0.084718,1.300000,-0.014579,0.569782,0.024921
1,6,0,0.939843,0.313117,1.050000,-0.014579,0.800000,0.034991
1,6,1,0.939843,0.313117,1.050000,-0.014579,0.800000,0.034991
1,6,2,0.939843,0.313117,1.050000,-0.014579,0.800000,0.034991
1,6,3,0.939843,0.313117,1.050000,-0.014579,0.800000,0.034991
1,6,4,0.939843,0.313117,1.050000,-0.014579,0.800000,0.034991
2,0,0,1.487307,-1.314790,0.813941,-0.030750,-0.723126,-0.011118
2,0,1,1.487307,-1.314790,0.813941,-0.030750,-0.723126,-0.011118
2,0,2,1.487307,-1.314790,0.813941,-0.030750,-0.723126,-0.011118
2,0,3,1.487307,-1.314790,0.813941,-0.030750,-0.723126,-0.011118
2,0,4,1.487307,-1.314790,0.813941,-0.030750,-0.723126,-0.011118
2,1,0,1.539721,-1.053325,0.934077,-0.030750,-0.456459,-0.007018
2,1,1,1.539721,-1.053325,0.934077,-0.030750,-0.456459,-0.007018
2,1,2,1.539721,-1.053325,0.934077,-0.030750,-0.456459,-0.007018
2,1,3,1.539721,-1.053325,0.934077,-0.030750,-0.456459,-0.007018
2,1,4,1.539721,-1.053325,0.934077,-0.030750,-0.456459,-0.007018
2,2,0,1.592135,-0.791860,1.073546,-0.030750,-0.189792,-0.002918
2,2,1,1.592135,-0.791860,1.073546,-0.030750,-0.189792,-0.002918
2,2,2,1.592135,-0.791860,1.073546,-0.030750,-0.189792,-0.002918
2,2,3,1.592135,-0.791860,1.073546,-0.030750,-0.189792,-0.002918
2,2,4,1.592135,-0.791860,1.073546,-0.030750,-0.189792,-0.002918
2,3,0,1.644549,-0.530395,1.280625,-0.030750,0.076874,0.007092
