x_ref_m,y_ref_m,psi_racetraj_rad,s_racetraj_m,kappa_racetraj_radpm,vx_racetraj_mps
1.6285,3.6748,3.0572,0.0000,0.3355,2.6808
1.3650,3.6971,-3.0670,0.2645,0.3355,2.7072
1.1304,3.6376,-2.6088,0.5065,0.5829,2.7575
0.9492,3.4519,-2.2498,0.7660,0.1809,2.8276
0.8043,3.2336,-2.0877,1.0280,0.1331,2.9116
0.6919,2.9993,-1.9534,1.2879,0.1249,3.0032
0.6105,2.7519,-1.8285,1.5483,0.1148,3.0961
0.5588,2.4944,-1.7135,1.8109,0.1046,3.1847
0.5355,2.2298,-1.6076,2.0766,0.0953,3.2646
0.5392,1.9610,-1.5095,2.3454,0.0877,3.3329
0.5685,1.6910,-1.4177,2.6170,0.0819,3.3880
0.6222,1.4227,-1.3305,2.8906,0.0781,3.4299
0.6989,1.1591,-1.2460,3.1651,0.0763,3.4596
0.7971,0.9031,-1.1625,3.4393,0.0765,3.4789
0.9157,0.6578,-1.0780,3.7118,0.0792,3.4902
1.0533,0.4262,-0.9900,3.9812,0.0849,3.4964
1.2085,0.2117,-0.8959,4.2460,0.0936,3.5002
1.3802,0.0177,-0.7932,4.5050,0.1054,3.5043
1.5670,-0.1525,-0.6795,4.7577,0.1205,3.5112
1.7678,-0.2954,-0.5526,5.0042,0.1376,3.5226
1.9811,-0.4079,-0.4177,5.2454,0.1414,3.5395
2.2058,-0.4898,-0.2898,5.4845,0.1247,3.5623
2.4405,-0.5449,-0.1798,5.7256,0.1031,3.5905
2.6840,-0.5768,-0.0895,5.9711,0.0812,3.6230
2.9347,-0.5892,-0.0183,6.2222,0.0611,3.6581
3.1916,-0.5860,0.0352,6.4791,0.0436,3.6939
3.4532,-0.5709,0.0726,6.7411,0.0282,3.7288
3.7182,-0.5477,0.0952,7.0071,0.0146,3.7611
3.9853,-0.5201,0.1040,7.2757,0.0019,3.7897
4.2532,-0.4919,0.0993,7.5451,-0.0106,3.8140
4.5206,-0.4668,0.0811,7.8136,-0.0235,3.8336
4.7861,-0.4485,0.0493,8.0798,-0.0367,3.8487
5.0486,-0.4407,0.0095,8.3423,-0.0390,3.8594
5.3077,-0.4436,-0.0276,8.6014,-0.0323,3.8660
5.5640,-0.4549,-0.0569,8.8580,-0.0247,3.8685
5.8180,-0.4726,-0.0780,9.1127,-0.0166,3.8668
6.0703,-0.4945,-0.0905,9.3659,-0.0081,3.8606
6.3214,-0.5183,-0.0943,9.6181,0.0006,3.8496
6.5718,-0.5419,-0.0893,9.8696,0.0094,3.8333
6.8221,-0.5631,-0.0753,10.1208,0.0182,3.8115
7.0727,-0.5797,-0.0526,10.3720,0.0269,3.7841
7.3243,-0.5896,-0.0212,10.6237,0.0353,3.7514
7.5773,-0.5904,0.0185,10.8767,0.0430,3.7140
7.8323,-0.5802,0.0660,11.1319,0.0499,3.6728
8.0896,-0.5566,0.1224,11.3904,0.0592,3.6289
8.3474,-0.5168,0.1911,11.6512,0.0732,3.5839
8.6011,-0.4576,0.2759,11.9117,0.0905,3.5391
8.8461,-0.3756,0.3796,12.1701,0.1110,3.4961
9.0778,-0.2674,0.5043,12.4258,0.1332,3.4563
9.2916,-0.1297,0.6499,12.6801,0.1525,3.4208
9.4830,0.0405,0.8049,12.9363,0.1503,3.3905
9.6484,0.2412,0.9537,13.1963,0.1377,3.3657
9.7849,0.4660,1.0940,13.4593,0.1310,3.3466
9.8898,0.7086,1.2313,13.7236,0.1307,3.3328
9.9603,0.9627,1.3714,13.9873,0.1368,3.3240
9.9936,1.2219,1.5194,14.2486,0.1483,3.3194
9.9869,1.4800,1.6742,14.5068,0.1523,3.3181
9.9406,1.7322,1.8258,14.7632,0.1433,3.3193
9.8577,1.9756,1.9676,15.0204,0.1328,3.3225
9.7415,2.2074,2.0999,15.2797,0.1233,3.3270
9.5952,2.4246,2.2247,15.5415,0.1159,3.3327
9.4221,2.6242,2.3443,15.8058,0.1115,3.3398
9.2256,2.8031,2.4624,16.0715,0.1123,3.3489
9.0100,2.9569,2.5840,16.3363,0.1190,3.3607
8.7797,3.0811,2.7142,16.5980,0.1316,3.3760
8.5389,3.1714,2.8581,16.8551,0.1499,3.3954
8.2922,3.2232,3.0191,17.1072,0.1706,3.4191
8.0437,3.2324,-3.0964,17.3558,0.1650,3.4464
7.7955,3.2007,-2.9468,17.6061,0.1332,3.4760
7.5478,3.1345,-2.8275,17.8625,0.1002,3.5058
7.3010,3.0401,-2.7375,18.1267,0.0714,3.5333
