s_idx,lat_idx,head_idx,x,y,wall_distance,curvature,wall_cost,curvature_cost,total_cost
0,0,0,-0.014970,-0.974083,0.460977,-0.005400,0.000000,0.005400,0.005400
0,0,1,-0.014970,-0.974083,0.460977,-0.005400,0.000000,0.005400,0.005400
0,0,2,-0.014970,-0.974083,0.460977,-0.005400,0.000000,0.005400,0.005400
0,1,0,0.015487,-0.675634,0.670820,-0.005400,0.000000,0.005400,0.005400
0,1,1,0.015487,-0.675634,0.670820,-0.005400,0.000000,0.005400,0.005400
0,1,2,0.015487,-0.675634,0.670820,-0.005400,0.000000,0.005400,0.005400
0,2,0,0.045945,-0.377184,0.948683,-0.005400,0.000000,0.005400,0.005400
0,2,1,0.045945,-0.377184,0.948683,-0.005400,0.000000,0.005400,0.005400
0,2,2,0.045945,-0.377184,0.948683,-0.005400,0.000000,0.005400,0.005400
0,3,0,0.076402,-0.078734,1.225765,-0.005400,0.000000,0.005400,0.005400
0,3,1,0.076402,-0.078734,1.225765,-0.005400,0.000000,0.005400,0.005400
0,3,2,0.076402,-0.078734,1.225765,-0.005400,0.000000,0.005400,0.005400
0,4,0,0.105215,0.203600,1.200000,-0.005400,0.000000,0.005400,0.005400
0,4,1,0.105215,0.203600,1.200000,-0.005400,0.000000,0.005400,0.005400
0,4,2,0.105215,0.203600,1.200000,-0.005400,0.000000,0.005400,0.005400
1,0,0,0.182742,-0.994297,0.000000,-0.005400,1.000000,0.005400,1.005400
1,0,1,0.182742,-0.994297,0.000000,-0.005400,1.000000,0.005400,1.005400
1,0,2,0.182742,-0.994297,0.000000,-0.005400,1.000000,0.005400,1.005400
1,1,0,0.213831,-0.695912,0.559017,-0.005400,0.000000,0.005400,0.005400
1,1,1,0.213831,-0.695912,0.559017,-0.005400,0.000000,0.005400,0.005400
1,1,2,0.213831,-0.695912,0.559017,-0.005400,0.000000,0.005400,0.005400
1,2,0,0.244920,-0.397527,0.855862,-0.005400,0.000000,0.005400,0.005400
1,2,1,0.244920,-0.397527,0.855862,-0.005400,0.000000,0.005400,0.005400
1,2,2,0.244920,-0.397527,0.855862,-0.005400,0.000000,0.005400,0.005400
1,3,0,0.276009,-0.099143,1.151086,-0.005400,0.000000,0.005400,0.005400
1,3,1,0.276009,-0.099143,1.151086,-0.005400,0.000000,0.005400,0.005400
1,3,2,0.276009,-0.099143,1.151086,-0.005400,0.000000,0.005400,0.005400
1,4,0,0.305420,0.183129,1.200000,-0.005400,0.000000,0.005400,0.005400
1,4,1,0.305420,0.183129,1.200000,-0.005400,0.000000,0.005400,0.005400
1,4,2,0.305420,0.183129,1.200000,-0.005400,0.000000,0.005400,0.005400
2,0,0,0.379577,-1.008419,0.000000,-0.007626,1.000000,0.007626,1.007626
2,0,1,0.379577,-1.008419,0.000000,-0.007626,1.000000,0.007626,1.007626
2,0,2,0.379577,-1.008419,0.000000,-0.007626,1.000000,0.007626,1.007626
2,1,0,0.412090,-0.710186,0.550000,-0.007626,0.000000,0.007626,0.007626
2,1,1,0.412090,-0.710186,0.550000,-0.007626,0.000000,0.007626,0.007626
2,1,2,0.412090,-0.710186,0.550000,-0.007626,0.000000,0.007626,0.007626
2,2,0,0.444603,-0.411953,0.850000,-0.007626,0.000000,0.007626,0.007626
2,2,1,0.444603,-0.411953,0.850000,-0.007626,0.000000,0.007626,0.007626
