x_ref_m;y_ref_m;psi_racetraj_rad;s_racetraj_m;kappa_racetraj_radpm;vx_racetraj_mps
0.4357;-0.1390;0.1194;0.0000;-0.0569;3.0000
0.7478;-0.1015;0.0833;0.3144;-0.0569;3.0000
1.0648;-0.0864;0.0090;0.6317;-0.0609;3.0000
1.3815;-0.0958;-0.0719;0.9486;-0.0676;3.0000
1.6932;-0.1317;-0.1623;1.2623;-0.0774;3.0000
1.9949;-0.1962;-0.2652;1.5708;-0.0903;3.0000
2.2815;-0.2915;-0.3836;1.8729;-0.1064;3.0000
2.5483;-0.4196;-0.5198;2.1688;-0.1242;3.0000
2.7902;-0.5826;-0.6681;2.4605;-0.1293;3.0000
3.0052;-0.7801;-0.8002;2.7524;-0.0961;3.0000
3.2001;-1.0048;-0.8908;3.0499;-0.0569;3.0000
3.3833;-1.2477;-0.9380;3.3541;-0.0218;3.0000
3.5632;-1.4999;-0.9455;3.6639;0.0091;3.0000
3.7477;-1.7526;-0.9186;3.9768;0.0343;3.0000
3.9418;-1.9957;-0.8604;4.2879;0.0604;3.0000
4.1490;-2.2190;-0.7683;4.5925;0.0926;3.0000
4.3728;-2.4122;-0.6367;4.8882;0.1315;3.0000
4.6169;-2.5650;-0.4690;5.1762;0.1585;3.0000
4.8831;-2.6708;-0.2973;5.4626;0.1395;3.0000
5.1685;-2.7340;-0.1520;5.7550;0.1092;3.0000
5.4693;-2.7607;-0.0375;6.0569;0.0816;3.0000
5.7817;-2.7570;0.0497;6.3693;0.0592;3.0000
6.1017;-2.7292;0.1139;6.6905;0.0417;3.0000
6.4257;-2.6833;0.1637;7.0177;0.0351;3.0000
6.7492;-2.6223;0.2126;7.3469;0.0396;3.0000
7.0671;-2.5449;0.2687;7.6741;0.0468;3.0000
7.3743;-2.4501;0.3348;7.9956;0.0568;3.0000
7.6657;-2.3367;0.4139;8.3084;0.0707;3.0000
7.9363;-2.2033;0.5098;8.6100;0.0895;3.0000
8.1808;-2.0487;0.6265;8.8993;0.1138;3.0000
8.3942;-1.8718;0.7682;9.1765;0.1427;3.0000
8.5715;-1.6713;0.9307;9.4441;0.1598;3.0000
8.7104;-1.4472;1.0944;9.7078;0.1486;3.0000
8.8137;-1.2018;1.2417;9.9741;0.1271;3.0000
8.8846;-0.9372;1.3679;10.2480;0.1035;3.0000
8.9261;-0.6558;1.4729;10.5325;0.0818;3.0000
8.9413;-0.3598;1.5586;10.8288;0.0638;3.0000
8.9334;-0.0517;1.6278;11.1370;0.0493;3.0000
8.9056;0.2664;1.6832;11.4563;0.0379;3.0000
8.8608;0.5921;1.7268;11.7851;0.0289;3.0000
8.8023;0.9231;1.7605;12.1212;0.0215;3.0000
8.7331;1.2571;1.7855;12.4623;0.0153;3.0000
8.6565;1.5918;1.8027;12.8057;0.0098;3.0000
8.5754;1.9250;1.8126;13.1486;0.0046;3.0000
8.4931;2.2543;1.8181;13.4880;0.0035;3.0000
8.4110;2.5765;1.8382;13.8205;0.0278;3.0000
8.3208;2.8832;1.8987;14.1402;0.0697;3.0000
8.2111;3.1642;2.0157;14.4418;0.1286;3.0000
8.0701;3.4091;2.2022;14.7244;0.2038;3.0000
7.8865;3.6079;2.4399;14.9951;0.2284;3.0000
7.6572;3.7581;2.6609;15.2692;0.1725;3.0000
7.3900;3.8669;2.8251;15.5577;0.1153;3.0000
7.0936;3.9426;2.9382;15.8636;0.0730;3.0000
6.7768;3.9934;3.0112;16.1844;0.0430;3.0000
6.4483;4.0272;3.0523;16.5147;0.0203;3.0000
6.1168;4.0524;3.0685;16.8472;0.0041;3.0000
5.7892;4.0755;3.0722;17.1755;0.0014;3.0000
5.4667;4.0976;3.0741;17.4988;0.0016;3.0000
5.1489;4.1188;3.0764;17.8173;0.0019;3.0000
4.8356;4.1388;3.0788;18.1313;0.0021;3.0000
4.5263;4.1579;3.0816;18.4411;0.0023;3.0000
4.2210;4.1758;3.0846;18.7470;0.0026;3.0000
3.9191;4.1925;3.0878;19.0493;0.0028;3.0000
3.6206;4.2081;3.0913;19.3483;0.0030;3.0000
3.3250;4.2224;3.0951;19.6442;0.0033;3.0000
3.0320;4.2355;3.0991;19.9374;0.0035;3.0000
2.7415;4.2473;3.1033;20.2282;0.0038;3.0000
