x_ref_m,y_ref_m,psi_racetraj_rad,s_racetraj_m,kappa_racetraj_radpm,vx_racetraj_mps
0.4098,-0.5078,-0.1312,0.0000,-0.0149,2.8227
0.6673,-0.5418,-0.1389,0.2597,-0.0149,2.8099
0.9231,-0.5796,-0.1563,0.5184,-0.0186,2.7792
1.1769,-0.6221,-0.1773,0.7757,-0.0224,2.7366
1.4281,-0.6701,-0.2023,1.0314,-0.0265,2.6896
1.6762,-0.7245,-0.2313,1.2854,-0.0307,2.6400
1.9207,-0.7861,-0.2645,1.5376,-0.0351,2.5884
2.1612,-0.8558,-0.3019,1.7880,-0.0397,2.5350
2.3971,-0.9345,-0.3438,2.0367,-0.0444,2.4810
2.6280,-1.0230,-0.3900,2.2839,-0.0491,2.4305
2.8534,-1.1221,-0.4406,2.5301,-0.0536,2.3999
3.0728,-1.2327,-0.4933,2.7758,-0.0535,2.4183
3.2862,-1.3548,-0.5413,3.0217,-0.0441,2.4966
3.4948,-1.4864,-0.5796,3.2684,-0.0335,2.6090
3.7000,-1.6256,-0.6076,3.5163,-0.0230,2.7286
3.9029,-1.7702,-0.6255,3.7655,-0.0128,2.8380
4.1050,-1.9181,-0.6333,4.0159,-0.0029,2.9028
4.3074,-2.0672,-0.6314,4.2673,0.0068,2.8863
4.5115,-2.2154,-0.6197,4.5195,0.0163,2.8045
4.7187,-2.3606,-0.5984,4.7725,0.0258,2.6990
4.9301,-2.5007,-0.5674,5.0262,0.0351,2.5914
5.1472,-2.6337,-0.5271,5.2807,0.0441,2.4871
5.3711,-2.7574,-0.4775,5.5365,0.0526,2.3870
5.6032,-2.8697,-0.4192,5.7944,0.0603,2.2837
5.8445,-2.9683,-0.3516,6.0551,0.0700,2.1584
6.0930,-3.0494,-0.2717,6.3165,0.0839,1.9912
6.3453,-3.1079,-0.1758,6.5755,0.1027,1.7719
6.5979,-3.1390,-0.0598,6.8299,0.1266,1.5104
6.8473,-3.1379,0.0797,7.0793,0.1541,1.2654
7.0899,-3.0997,0.2398,7.3250,0.1711,1.1543
7.3229,-3.0217,0.4001,7.5706,0.1547,1.2434
7.5446,-2.9074,0.5426,7.8201,0.1315,1.4548
7.7538,-2.7618,0.6656,8.0749,0.1109,1.6797
7.9492,-2.5898,0.7719,8.3353,0.0946,1.8681
8.1295,-2.3961,0.8652,8.5999,0.0828,2.0082
8.2935,-2.1856,0.9489,8.8667,0.0750,2.1010
8.4398,-1.9632,1.0261,9.1329,0.0711,2.1530
8.5672,-1.7337,1.1000,9.3954,0.0703,2.1795
8.6751,-1.5009,1.1716,9.6521,0.0690,2.2035
8.7649,-1.2652,1.2397,9.9043,0.0657,2.2419
8.8382,-1.0265,1.3030,10.1539,0.0606,2.2986
8.8967,-0.7849,1.3602,10.4026,0.0543,2.3702
8.9422,-0.5402,1.4108,10.6515,0.0471,2.4516
8.9762,-0.2922,1.4542,10.9017,0.0395,2.5381
9.0006,-0.0411,1.4902,11.1541,0.0319,2.6257
9.0171,0.2134,1.5190,11.4091,0.0245,2.7104
9.0272,0.4713,1.5405,11.6672,0.0173,2.7811
9.0328,0.7328,1.5558,11.9287,0.0120,2.8092
9.0351,0.9975,1.5714,12.1935,0.0173,2.7681
9.0325,1.2638,1.5951,12.4598,0.0274,2.6691
9.0222,1.5291,1.6300,12.7253,0.0386,2.5375
9.0012,1.7909,1.6771,12.9879,0.0517,2.3817
8.9669,2.0466,1.7381,13.2459,0.0672,2.1981
8.9163,2.2938,1.8149,13.4982,0.0856,1.9844
8.8466,2.5299,1.9093,13.7444,0.1068,1.7505
8.7549,2.7524,2.0229,13.9850,0.1293,1.5392
8.6383,2.9587,2.1528,14.2220,0.1440,1.4351
8.4952,3.1470,2.2845,14.4586,0.1334,1.4918
8.3274,3.3178,2.4035,14.6980,0.1151,1.6591
8.1378,3.4721,2.5070,14.9424,0.0969,1.8571
7.9293,3.6109,2.5956,15.1928,0.0806,2.0436
7.7048,3.7352,2.6709,15.4495,0.0668,2.2053
7.4671,3.8460,2.7347,15.7117,0.0554,2.3403
7.2191,3.9445,2.7886,15.9786,0.0461,2.4510
6.9636,4.0316,2.8341,16.2485,0.0385,2.5411
6.7035,4.1082,2.8724,16.5197,0.0323,2.6129
6.4416,4.1756,2.9046,16.7900,0.0275,2.6637
6.1807,4.2345,2.9330,17.0576,0.0257,2.6920
5.9213,4.2857,2.9599,17.3220,0.0251,2.7058
5.6634,4.3296,2.9859,17.5836,0.0244,2.7157
5.4068,4.3665,3.0107,17.8428,0.0235,2.7264
5.1516,4.3969,3.0343,18.0998,0.0224,2.7387
4.8976,4.4213,3.0566,18.3550,0.0212,2.7525
4.6446,4.4401,3.0775,18.6087,0.0199,2.7676
4.3926,4.4537,3.0969,18.8610,0.0185,2.7839
4.1415,4.4626,3.1148,19.1123,0.0170,2.8013
3.8913,4.4672,3.1311,19.3626,0.0155,2.8195
3.6417,4.4679,-3.1375,19.6122,0.0138,2.8384
